timestamp,concentration,relaxation,fatigue,artifact
1775759793.5422795,0.5262042962860056,0.8025481773327515,0.49019640006858933,0
1775759794.0436254,0.5757297074931945,0.8764946785355545,0.47889465325516445,0
1775759794.5448413,0.6106216894491355,0.8900616218186723,0.42913228241890117,0
1775759795.0455894,0.6929546417699941,0.9112444711602434,0.4164359840644488,0
1775759795.5460706,0.7247773877557973,0.9370567913973725,0.44662910983255466,0
1775759796.0462747,0.7820981000344479,0.9023673664938858,0.43787314502754165,0
1775759796.5469136,0.8606996821033445,0.8716416218814816,0.38787125284249513,0
1775759797.047732,0.8402623955256484,0.8514870076352612,0.44148170147628885,0
1775759797.548341,0.8466323932947871,0.9076110701370534,0.3767379299487687,0
1775759798.0486078,0.9026052536087014,0.9151228732876225,0.37412527419749575,0
